,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
177,2,20,3,0.250152906994102,0.5966666666666667,0.5800000000000001,0.0461514210183857,0.2506844852494131,0.5133333333333333,0.53,0.0010992272438979,digits_08,0.21
183,2,20,3,0.250152906994102,0.5966666666666667,0.5800000000000001,0.0461514210183857,0.2506844852494131,0.5133333333333333,0.53,0.0010992272438979,digits_08,0.21
200,2,20,3,0.2500288101447281,0.5133333333333333,0.54,0.045596933422155,0.2504934807252129,0.5133333333333333,0.54,0.0011040861685805,digits_08,0.24
207,2,20,3,0.2500288101447281,0.5133333333333333,0.54,0.045596933422155,0.2504934807252129,0.5133333333333333,0.54,0.0011040861685805,digits_08,0.24
226,2,20,3,0.2499987800878231,0.5133333333333333,0.54,0.0486605079742236,0.2503616441242096,0.5133333333333333,0.54,0.0007174904808579,digits_08,0.27
232,2,20,3,0.2499987800878231,0.5133333333333333,0.54,0.0486605079742236,0.2503616441242096,0.5133333333333333,0.54,0.0007174904808579,digits_08,0.27
249,2,20,3,0.2499862767666834,0.5133333333333333,0.54,0.0480335121340293,0.2502046861498901,0.5133333333333333,0.54,0.0017202680868075,digits_08,0.3
256,2,20,3,0.2499862767666834,0.5133333333333333,0.54,0.0480335121340293,0.2502046861498901,0.5133333333333333,0.54,0.0017202680868075,digits_08,0.3
2,2,20,4,0.1303641553657651,0.9633333333333334,0.62,0.0158615269938619,0.0892682881428778,0.9233333333333332,0.77,0.0001113229886335,digits_08,0.0
7,2,20,4,0.1303641553657651,0.9633333333333334,0.62,0.0158615269938619,0.0892682881428778,0.9233333333333332,0.77,0.0001113229886335,digits_08,0.0
24,2,20,4,0.24310244621131,0.8933333333333333,0.55,0.0483528467769184,0.2146132537976429,0.88,0.76,0.0001814874587902,digits_08,0.03
31,2,20,4,0.24310244621131,0.8933333333333333,0.55,0.0483528467769184,0.2146132537976429,0.88,0.76,0.0001814874587902,digits_08,0.03
50,2,20,4,0.2472774963833747,0.8033333333333333,0.67,0.0440356216265816,0.2422202187874569,0.8333333333333334,0.74,0.0001201857121821,digits_08,0.06
55,2,20,4,0.2472774963833747,0.8033333333333333,0.67,0.0440356216265816,0.2422202187874569,0.8333333333333334,0.74,0.0001201857121821,digits_08,0.06
74,2,20,4,0.2485170223386761,0.8333333333333334,0.66,0.0445898656756838,0.2457261731492423,0.81,0.75,0.0007658694279894,digits_08,0.09
80,2,20,4,0.2485170223386761,0.8333333333333334,0.66,0.0445898656756838,0.2457261731492423,0.81,0.75,0.0007658694279894,digits_08,0.09
99,2,20,4,0.2489947549231623,0.8233333333333334,0.6,0.0477970977309928,0.2473781340570255,0.81,0.75,0.0005444798409069,digits_08,0.12
105,2,20,4,0.2489947549231623,0.8233333333333334,0.6,0.0477970977309928,0.2473781340570255,0.81,0.75,0.0005444798409069,digits_08,0.12
124,2,20,4,0.2493218888269555,0.73,0.51,0.0477798612881091,0.2480986276667701,0.82,0.73,0.0006469573739542,digits_08,0.15
