"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"115","205.84230672073537","95.66426959914267","0.018899999999999917","0.0216","0.016199999999999992","2100","0.00017985665446550406","0.00017985665446550406","0","0.00017985665446550406","0.00017985665446550406","115_99:0.0021201706362368455;115_114:0.0012320035206846158","115_99:68;115_114:68","true"
"116","77.20995894790903","136.14082808594472","0.014100000000000001","0.019","0.009199999999999986","2100","0.0006630129708338591","0.0006630129708338591","0","0.0006630129708338591","0.0006630129708338591","116_101:0.0025773925991449953;116_121:0.002446488222653226","116_101:68;116_121:68","true"
"117","112.93698327299433","16.386853245173945","0.012299999999999978","0.0178","0.006800000000000028","2100","0.0001958610473062136","0.0001958610473062136","0","0.0001958610473062136","0.0001958610473062136","117_105:0.0019529556130021275;117_125:0.005827752371130729","117_105:68;117_125:68","true"
"118","186.11828206988883","50.07232720999348","0.012499999999999956","0.0144","0.010600000000000054","2100","0.00039832846500032073","0.00039832846500032073","0","0.00039832846500032073","0.00039832846500032073","118_109:0.0018850107838596086;118_129:0.0028919143750741894","118_109:68;118_129:68","true"
"119","210.95931227302543","26.179035177284653","0.20579999999999998","0.0458","0.3658","2100","0.00021220008064160386","0.00021220008064160386","0","0.00021220008064160386","0.00021220008064160386","119_113:1;119_133:1","119_113:68;119_133:68","true"
"120","270.58665608058743","77.28396591894513","0.0031000000000001027","0.005600000000000049","0.0006","2100","0.00013643286525406682","0.00013643286525406682","0","0.00013643286525406682","0.00013643286525406682","120_121:0.0019098417746402918","120_121:68","true"
"121","51.12527728241389","102.481097836661","0.062100000000000044","0.058599999999999985","0.0656","2100","0.0003647653710163636","0.0003647653710163636","0","0.0003647653710163636","0.0003647653710163636","121_120:0.0019098417746402918;121_122:0.002075658079721987;121_116:0.002446488222653226","121_120:68;121_122:80;121_116:68","true"
"122","165.40075691957844","24.36502253071964","0.014900000000000024","0.0192","0.010600000000000054","2100","0.00022492436652780625","0.00022492436652780625","0","0.00022492436652780625","0.00022492436652780625","122_121:0.002075658079721987;122_123:0.0017653392438653215","122_121:80;122_123:68","true"
"123","111.43553744849329","66.2956984115967","0.020499999999999963","0.0274","0.013599999999999945","2100","0.00040057263644106665","0.00040057263644106665","0","0.00040057263644106665","0.00040057263644106665","123_136:0.0017098749402945923;123_124:0.0021062429771358804;123_122:0.0017653392438653215","123_136:68;123_124:68;123_122:68","true"
"124","105.0384105005264","151.30843984491287","0.01529999999999998","0.0176","0.013000000000000012","2100","0.0004456404327628389","0.0004456404327628389","0","0.0004456404327628389","0.0004456404327628389","124_123:0.0021062429771358804;124_125:0.002185437326031492","124_123:68;124_125:68","true"
"125","123.19506364777611","65.1360657381601","0.02410000000000001","0.028800000000000048","0.0194","2100","0.00045073304305017967","0.00045073304305017967","0","0.00045073304305017967","0.00045073304305017967","125_117:0.005827752371130729;125_124:0.002185437326031492;125_126:0.0022933269228596898","125_117:68;125_124:68;125_126:68","true"
"126","139.15000341011785","49.34820089420006","0.02079999999999993","0.0252","0.01639999999999997","2100","0.0004225820352131227","0.0004225820352131227","0","0.0004225820352131227","0.0004225820352131227","126_127:0.0024659175460408633;126_125:0.0022933269228596898","126_127:68;126_125:68","true"
"127","216.54633948335712","15.265267615942005","0.05410000000000004","0.05679999999999996","0.0514","2100","0.0002886178217159768","0.0002886178217159768","0","0.0002886178217159768","0.0002886178217159768","127_126:0.0024659175460408633;127_128:0.0011785760209921947;127_137:0.001677747300975252","127_126:68;127_128:68;127_137:68","true"
"128","320.18533111788634","513.977002097496","0.012399999999999967","0.0146","0.010199999999999987","2100","0.0004016481521479983","0.0004016481521479983","0","0.0004016481521479983","0.0004016481521479983","128_127:0.0011785760209921947;128_129:0.0018392947802962079","128_127:68;128_129:68","true"
"129","220.3444259575439","241.5158913703123","0.020000000000000018","0.013333333333333334","0.026666666666666616","2100","0.00028734321406311095","0.00028734321406311095","0","0.00028734321406311095","0.00028734321406311095","129_130:1;129_128:0.0018392947802962079;129_118:0.0028919143750741894","129_130:68;129_128:68;129_118:68","true"
